"skill_id","experience_id","name","skill_level"
"1","1","functions","10"
"2","1","OOP","10"
"3","2","IP Address","7"
"4","2","DNS","10"
"5","2","Authorization","9"
"6","2","Authentication","5"
"7","3","TCP/IP","10"
"8","3","Firewalls","10"
"9","3","VPN","10"
"10","4","Public Speaking","10"
"11","4","PowerPoint","10"
"12","5","Collaboration","10"
"13","5","Initiative","10"
"14","5","Feedback Acceptance","10"
"15","6","Effective Argumentation","10"
"16","6","Logical Reasoning","10"
"17","6","Critical Thinking","10"
